ABETE	6.05
ABISSO	3.84
ACCIAIO	4.80
ACETO	5.61
ACQUA	6.39
AGGUATO	3.43
AGIO	2.57
AGONIA	3.16
ALBERGO	5.66
ALBICOCCA	6.43
ALLUCE	5.57
ALLUVIONE	4.84
ALTARE	5.48
ALUNNO	5.41
AMNISTIA	1.89
ANATRA	5.64
ANGOLO	4.43
ANGOSCIA	3.16
ANGUILLA	5.23
ANNO	3.70
ANTENNA	5.55
AQUILA	6.07
ARAGOSTA	5.55
ARGENTO	5.18
ARIA	3.95
ARNESE	3.89
ARSENALE	3.55
ARTE	3.84
ASFALTO	5.73
ASMA	3.64
ATLETA	5.25
ATRIO	4.59
AULA	5.77
AUTUNNO	4.64
BACO	4.41
BALCONE	5.98
BANANA	6.55
BARBA	6.18
BASILICO	6.07
BASTONE	6.21
BATTELLO	5.00
BATTESIMO	4.75
BATUFFOLO	5.39
BAVA	4.86
BEFANA	5.25
BELVA	4.68
BERSAGLIO	5.02
BESTIA	4.36
BIBITA	5.89
BICCHIERE	6.32
BIGLIETTO	5.80
BISCIA	5.18
BISTECCA	6.39
BOCCA	6.65
BOIA	4.50
BOMBA	5.25
BOSSOLO	4.25
BRANDELLO	4.30
BRIVIDO	4.11
BRODO	5.41
BUCCIA	5.48
BUFERA	4.73
BUGIA	3.00
BURRASCA	4.43
BURRO	6.07
BUSSOLA	5.64
CADAVERE	5.41
CALAMITA	5.52
CALCAGNO	5.18
CALVARIO	3.02
CAMINO	6.25
CAMMELLO	5.93
CAMOMILLA	5.70
CANAPA	3.82
CANDELA	6.30
CANE	6.57
CANGURO	6.20
CANTIERE	4.57
CANZONE	5.02
CAPARRA	2.61
CAPRA	5.80
CAPRICCIO	3.27
CARAMELLA	6.48
CARATTERE	2.82
CARCASSA	3.77
CARCERE	5.84
CARCIOFO	6.32
CARNEVALE	5.25
CAROSELLO	3.27
CAROTA	6.39
CARRIERA	3.32
CASA	6.44
CASTAGNA	6.39
CASTELLO	6.14
CATEGORIA	2.64
CATINO	4.84
CATRAME	4.70
CAVALLO	6.52
CEDRO	4.66
CENERE	5.14
CERA	4.93
CERIMONIA	4.55
CERVELLO	5.41
CERVO	6.05
CESTO	5.80
CHIESA	6.32
CHITARRA	6.52
CICALA	5.66
CICATRICE	5.77
CIELO	6.32
CILIEGIA	6.43
CIMITERO	6.20
CINEMA	6.23
CINGHIALE	5.68
CIPRESSO	5.68
CIPRIA	5.61
CIRCO	5.80
CISTERNA	4.73
CIUFFO	4.57
CLERO	3.75
CLIMA	3.82
COCOMERO	6.48
CODICE	3.45
COFANO	5.59
COLLERA	3.36
COLORE	4.73
